No    | English        | Vietnamese     
1375  | history        | lịch sử, sử học
1376  | hit            | đánh, đấm, ném trúng; đòn, cú đấm
1377  | hobby          | sở thích riêng 
1378  | hold           | cầm, nắm, giữ; sự cầm, sự nắm giữ
1379  | hole           | lỗ,lỗ trống;hang
1380  | holiday        | ngày lễ, ngày nghỉ
1381  | hollow         | rỗng, trống rỗng
1382  | holy           | linh thiêng; sùng đạo
1383  | home           | nhà; ở tại nhà, nước mình
1384  | homework       | bài tập về nhà (học sinh), công việc làm ở nhà
1385  | honest         | lương thiện, trung thực, chân thật
1386  | honestly       | lương thiện, trung thực, chân thật
1387  | honour         | danhdự,thanhdanh, lòngkínhtrọng.inhonour/honorof: đểtỏlòngtôn kính, trân trọng đối với
1388  | hook           | cái móc; bản lề; lưỡi câu
1389  | hope           | hy vọng; nguồn hy vọng
1390  | horizontal     | (thuộc) chân trời, ở chân trời; ngang, nằm ngang (trục hoành)
1391  | horn           | sừng (trâu, bò...)
1392  | horror         | điều kinh khủng, sự ghê rợn
1393  | horse          | ngựa           
1394  | hospital       | bệnh viện, nhà thương
1395  | host           | chủnhà,chủtiệc; dẫn(c.trình),đăngcaitổchức(hộinghị)
1396  | hot            | nóng, nóng bức 
1397  | hotel          | khách sạn      
1398  | hour           | giờ            
1399  | house          | nhà, căn nhà, toàn nhà
1400  | household      | hộ, gia đình; (thuộc) gia đình
1401  | housing        | nơi ăn chốn ở  
1402  | how            | thế nào, như thế nào, làm sao, ra sao
1403  | however        | tuy nhiên, tuy vậy, dù thế nào
1404  | huge           | to lớn, khổng lồ
1405  | human          | (thuộc) con người, loài người
1406  | humorous       | hài hước, hóm hỉnh
1407  | humour         | sự hài hước, sự hóm hỉnh
1408  | hungry         | đói            
1409  | hunt           | săn, đi săn    
1410  | hunting        | sự đi săn      
1411  | hurry          | sựvộivàng,sự gấprút.inahurry:vộivàng,hối hả,gấprút
1412  | hurt           | làm bị thương, gây thiệt hại
1413  | husband        | người chồng    
1414  | ice            | băng, nước đá  
1415  | icecream       | kem            
1416  | idea           | ý tưởng, quan niệm
1417  | ideal          | (thuộc) quan niệm, tư tưởng; lý tưởng
1418  | ideally        | lý tưởng, đúng như lý tưởng
1419  | identify       | nhận biết, nhận ra, nhận dạng
1420  | identity       | cá tính, nét nhận dạng; tính đồng nhất, giống hệt
1421  | if             | nếu, nếu như   
1422  | ignore         | phớt lờ, tỏ ra không biết đến
1423  | ill            | ốm             
1424  | illegal        | trái luật, bất hợp pháp
1425  | illegally      | trái luật, bất hợp pháp
1426  | illness        | sự đau yếu, ốm, bệnh tật
1427  | illustrate     | minh họa, làm rõ ý
1428  | image          | ảnh, hình ảnh  
1429  | imaginary      | tưởng tượng, ảo
1430  | imagination    | trí tưởng tượng, sự tưởng tượng
1431  | imagine        | tưởng tượng, hình dung; tưởng rằng, cho rằng
1432  | immediate      | lập tức, tức thì
1433  | immediately    | ngay lập tức   
1434  | immoral        | trái đạo đức, luân lý; xấu xa
1435  | impact         | sự và chạm, sự tác động, ảnh hưởng
1436  | impatient      | thiếu kiên nhẫn, nóng vội
1437  | impatiently    | nóng lòng, sốt ruột
1438  | implication    | sự lôi kéo, sự liên can, điều gợi ý
1439  | imply          | ngụ ý, bao hàm 
1440  | import         | import sự nhập, sự nhập khẩu; nhập, nhập khẩu
1441  | importance     | sự quan trọng, tầm quan trọng
1442  | important      | quan trọng, hệ trọng
1443  | importantly    | quan trọng, trọng yếu
1444  | impose         | đánh (thuế...), bắt gánh vác; đánh tráo, lợi dụng
1445  | impossible     | không thể làm được, không thể xảy ra
1446  | impress        | ghi, khắc, in sâu vào; gây ấn tượng, làm cảm động
1447  | impressed      | được ghi, khắc, in sâu vào
1448  | impression     | ấn tượng, cảm giác; sự in, đóng dấu
1449  | impressive     | gây ấn tượng mạnh; hùng vĩ, oai vệ
1450  | improve        | cải thiện, cái tiến, mở mang
1451  | improvement    | sự cải thiện, sự cải tiến, sự mở mang
1452  | in             | ở, tại, trong; vào
1453  | inability      | sự bất lực, bất tài
1454  | inch           | insơ (đơn vị đo chiều dài anh bằng 2, 54 cm)
1455  | incident       | việc xảy ra, việc có liên quan
1456  | include        | bao gồm, tính cả
1457  | including      | bao gồm, kể cả 
1458  | income         | lợi tức, thu nhập
1459  | increase       | tăng, tăng thêm; sự tăng, sự tăng thêm
1460  | increasingly   | tăng thêm      
1461  | indeed         | thật vậy, quả thật
1462  | independence   | sự độc lập, nền độc lập
1463  | independent    | độc lập        
1464  | independently  | độc lập        
1465  | index          | chỉ số, sự biểu thị
1466  | indicate       | chỉ, cho biết; biểu thị, trình bày ngắn gọn
1467  | indication     | sự chỉ, sự biểu thị, sự biểu lộ
1468  | indirect       | gián tiếp      
1469  | indirectly     | gián tiếp      
1470  | individual     | riêng, riêng biệt; cá nhân
1471  | indoor         | trong nhà      
1472  | indoors        | ở trong nhà    
1473  | industrial     | (thuộc) công nghiệp, kỹ nghệ
1474  | industry       | công nghiệp, kỹ nghệ
1475  | inevitable     | không thể tránh được, chắc chắn xảy ra; vẫn thường thấy, nghe
1476  | inevitably     | chắc chắn, chắc hẳn
1477  | infect         | nhiễm, tiêm nhiễm, đầu độc, lan truyền
1478  | infected       | bị nhiễm, bị đầu độc
1479  | infection      | sự nhiễm, sự đầu độc
1480  | infectious     | lây, nhiễm     
1481  | influence      | sự ảnh hưởng, sự tác dụng; ảnh hưởng, tác động
1482  | inform         | báo cho biết, cung cấp tin tức
1483  | informal       | không chính thức, không nghi thức
1484  | information    | tin tức, tài liệu, kiến thức
1485  | ingredient     | phần hợpthành,thànhphần
1486  | initial        | ban đầu, lúc đầu; chữ đầu (của 1 tên gọi)
1487  | initially      | vào lúc ban đầu, ban đầu
1488  | initiative     | bước đầu, sự khởi đầu
1489  | injure         | làm tổn thương, làm hại, xúc phạm
1490  | injured        | bị tổn thương, bị xúc phạm
1491  | injury         | sự làm tổn thương, làm hại; điều hại, điều tổn hại
1492  | ink            | mực            
1493  | inner          | ởtrong,nộibộ;thâncận
1494  | innocent       | vô tội, trong trắng, ngây thơ
1495  | insect         | sâu bọ, côn trùng
1496  | insert         | chèn vào, lồng vào
1497  | inside         | mặt trong, phía, phần trong; ở trong, nội bộ
1498  | insist         | cứ nhất định, cứ khăng khăng
1499  | install        | đặt (hệ thống máy móc, thiết bị...)
1500  | instance       | thí dị, ví dụ; trường hợp cá biệt. for instance ví dụ chẳng hạn
1501  | instead        | để thay thế. instead of thay cho
1502  | institute      | viện, học viện 
1503  | institution    | sự thành lập, lập; cơ quan, trụ sở
1504  | instruction    | sựdạy,tài liệucungcấp
1505  | instrument     | dụng cụ âm nhạc khí
1506  | insult         | lăng mạ, xỉ nhục; lời lăng mạ, sự xỉ nhục
1507  | insulting      | lăng mạ, xỉ nhục
1508  | insurance      | sự bảo hiểm    
1509  | intelligence   | sự hiểu biết,tríthôngminh
1510  | intelligent    | thông minh, sáng trí
1511  | intend         | ý định, có ý định
1512  | intended       | có ý định, có dụng ý
1513  | intention      | ý định, mục đích
1514  | interest       | sựthích thú,sựquan tâm,chúý;làm quan tâm, làmchúý
1515  | interested     | cóthích thú,cóquan tâm,cóchúý
1516  | interesting    | làm thích thú, làm quan tâm, làm chú ý
1517  | interior       | phần trong, phía trong; ở trong, ở phía trong
1518  | internal       | ở trong, bên trong, nội địa
1519  | international  | quốc tế        
1520  | internet       | liên mạng      
1521  | interpret      | giải thích     
1522  | interpretation | sự giải thích  
1523  | interrupt      | làm gián đoạn, ngắt lời
1524  | interruption   | sự gián đoạn, sự ngắt lời
1525  | interval       | khoảng (khoãng thời gian), khoảng cách
1526  | interview      | cuộc phỏng vấn, sự gặp mặt; phỏng vấn, nói chuyện riêng
1527  | into           | vào, vào trong 
1528  | introduce      | giới thiệu     
1529  | introduction   | sự giới thiệu, lời giới thiệu
1530  | invent         | phát minh, sáng chế
1531  | invention      | sự phát minh, sự sáng chế
1532  | invest         | đầu tư         
1533  | investigate    | điều tra, nghiên cứu
1534  | investigation  | sự điều tra, nghiên cứu
1535  | investment     | sự đầu tư, vốn đầu tư
1536  | invitation     | lời mời, sự mời
1537  | invite         | mời            
1538  | involve        | bao gồm, bao hàm; thu hút, dồn tâm trí. involved in để hết tâm trí vào
1539  | involvement    | sự gồm, sự bao hàm; sự để, dồn hết tâm trí vào
1540  | iron           | sắt; bọc sắt   
1541  | irritate       | làm phátcáu, chọctức
1542  | irritated      | tức giận, cáu tiết
1543  | irritating     | làm phátcáu, chọctức
1544  | island         | hòn đảo        
1545  | issue          | sự phát ra, sự phát sinh; phát hành, đưa ra
1546  | it             | cái đó, điều đó, con vật đó
1547  | item           | tin tức; khoả(n)., mó(n).., tiết mục
1548  | its            | của cái đó, của điều đó, của con vật đó; cái của điều đó, cái của con vật đó
